答卷编号,IP地址,来源,昵称(微信),性别(微信),城市(微信),分值,开始时间,结束时间,浏览器,操作系统,状态,Q10_与一杯脱脂牛奶相比，一杯全脂牛奶中的钙含量是:
1,175.167.130.151,,,,,6,2019/5/28 18:32,2019/5/28 18:34,Unknown Browser,iPhone iOS 12.2,正常完成,差不多的
2,223.104.177.91,,,,,5,2019/5/28 18:32,2019/5/28 18:34,Chrome 66.0.3359.126,Android Linux 9,正常完成,高得多
3,223.104.176.245,,,,,4,2019/5/28 18:33,2019/5/28 18:34,Chrome 66.0.3359.126,Android Linux 8.1.0,正常完成,差不多的
4,223.104.177.89,,,,,5,2019/5/28 18:32,2019/5/28 18:35,Chrome 66.0.3359.126,Android Linux 8.1.0,正常完成,低得多
5,175.167.130.31,,,,,6,2019/5/28 18:32,2019/5/28 18:35,Chrome 66.0.3359.126,Android Linux 9,正常完成,高得多
6,175.167.138.86,,,,,3,2019/5/28 18:33,2019/5/28 18:35,Chrome 57.0.2987.132,Android Linux 8.0,正常完成,不确定
7,223.104.237.89,,,,,6,2019/5/28 18:32,2019/5/28 18:35,Unknown Browser,iPhone iOS 12.2,正常完成,差不多的
8,42.248.32.126,,,,,5,2019/5/28 18:32,2019/5/28 18:35,Unknown Browser,iPhone iOS 12.1.4,正常完成,高得多
9,175.167.138.10,,,,,7,2019/5/28 18:33,2019/5/28 18:35,Chrome 66.0.3359.126,Android Linux 9,正常完成,差不多的
10,223.104.176.149,,,,,5,2019/5/28 18:32,2019/5/28 18:35,Unknown Browser,iPhone iOS 12.2,正常完成,差不多的
11,175.167.138.143,,,,,4,2019/5/28 18:32,2019/5/28 18:36,Unknown Browser,iPhone iOS 12.2,正常完成,差不多的
12,175.167.146.171,,,,,3,2019/5/28 18:32,2019/5/28 18:36,Chrome 66.0.3359.126,Android Linux 8.1.0,正常完成,高得多
13,175.167.130.82,,,,,2,2019/5/28 18:32,2019/5/28 18:36,Chrome 66.0.3359.126,Android Linux 9,正常完成,不确定
14,221.178.127.27,,,,,5,2019/5/28 18:32,2019/5/28 18:36,Chrome 66.0.3359.126,Android Linux 9,正常完成,差不多的
15,42.249.60.52,,,,,7,2019/5/28 18:33,2019/5/28 18:36,Unknown Browser,iPhone iOS 11.4,正常完成,差不多的
16,182.204.165.224,,,,,5,2019/5/28 18:32,2019/5/28 18:36,Unknown Browser,iPhone iOS 12.2,正常完成,差不多的
17,223.104.177.37,,,,,4,2019/5/28 18:33,2019/5/28 18:37,Unknown Browser,iPhone iOS 12.3,正常完成,高得多
18,175.167.130.2,,,,,6,2019/5/28 18:35,2019/5/28 18:37,Unknown Browser,iPhone iOS 12.2,正常完成,差不多的
19,175.167.146.98,,,,,3,2019/5/28 18:35,2019/5/28 18:37,Chrome 66.0.3359.126,Android Linux 8.1.0,正常完成,高得多
20,42.248.48.41,,,,,5,2019/5/28 18:36,2019/5/28 18:38,Unknown Browser,iPhone iOS 12.1.2,正常完成,差不多的
21,175.167.154.64,,,,,5,2019/5/28 18:36,2019/5/28 18:38,Chrome 66.0.3359.126,Android Linux 8.1.0,正常完成,差不多的
22,175.167.130.246,,,,,5,2019/5/28 18:38,2019/5/28 18:41,Chrome 66.0.3359.126,Android Linux 9,正常完成,差不多的
1,223.104.177.39,,,,,2,2019/5/28 18:36,2019/5/28 18:36,Unknown Browser,iPhone iOS 12.1.4,正常完成,差不多
2,175.167.138.6,,,,,5,2019/5/28 18:36,2019/5/28 18:38,Unknown Browser,iPhone iOS 12.0,正常完成,高得多
3,36.23.111.143,,,,,3,2019/5/28 18:36,2019/5/28 18:38,Unknown Browser,iPhone iOS 12.2,正常完成,高得多
4,59.46.193.39,,,,,7,2019/5/28 18:36,2019/5/28 18:38,Chrome 66.0.3359.126,Android Linux 6.0.1,正常完成,差不多
5,175.167.146.98,,,,,2,2019/5/28 18:37,2019/5/28 18:39,Unknown Browser,iPhone iOS 12.2,正常完成,高得多
6,221.192.180.175,,,,,5,2019/5/28 18:36,2019/5/28 18:39,Unknown Browser,iPhone iOS 12.2,正常完成,差不多
7,42.248.48.43,,,,,7,2019/5/28 18:37,2019/5/28 18:39,Chrome 66.0.3359.126,Android Linux 9,正常完成,差不多
8,175.167.138.123,,,,,4,2019/5/28 18:37,2019/5/28 18:39,Chrome 66.0.3359.126,Android Linux 8.0.0,正常完成,高得多
9,220.195.66.92,,,,,5,2019/5/28 18:37,2019/5/28 18:39,Chrome 66.0.3359.126,Android Linux 8.1.0,正常完成,差不多
10,112.64.119.243,,,,,5,2019/5/28 18:37,2019/5/28 18:40,Chrome 66.0.3359.126,Android Linux 8.1.0,正常完成,差不多
11,223.104.176.205,,,,,6,2019/5/28 18:37,2019/5/28 18:40,Unknown Browser,iPhone iOS 12.2,正常完成,差不多
12,175.167.138.159,,,,,2,2019/5/28 18:36,2019/5/28 18:40,Unknown Browser,iPhone iOS 12.1.4,正常完成,高得多
13,59.46.193.39,,,,,3,2019/5/28 18:38,2019/5/28 18:40,Unknown Browser,IPad iOS 12.1.4,正常完成,差不多
14,223.104.177.112,,,,,6,2019/5/28 18:38,2019/5/28 18:40,Opera,Android Linux 8.0.0,正常完成,差不多
15,59.46.193.39,,,,,3,2019/5/28 18:39,2019/5/28 18:40,Chrome 66.0.3359.126,Android Linux 6.0.1,正常完成,高得多
16,223.104.176.218,,,,,5,2019/5/28 18:37,2019/5/28 18:40,Unknown Browser,iPhone iOS 12.1.4,正常完成,差不多
17,113.127.67.179,,,,,8,2019/5/28 18:37,2019/5/28 18:41,Unknown Browser,iPhone iOS 12.2,正常完成,差不多
18,223.104.237.97,,,,,7,2019/5/28 18:38,2019/5/28 18:41,Chrome 66.0.3359.126,Android Linux 9,正常完成,高得多
19,223.104.176.166,,,,,3,2019/5/28 18:39,2019/5/28 18:41,Chrome 67.0.3396.87,Android Linux 6.0,正常完成,差不多
20,59.46.193.39,,,,,6,2019/5/28 18:36,2019/5/28 18:41,Unknown Browser,IPad iOS 11.2,正常完成,差不多
21,220.195.65.109,,,,,4,2019/5/28 18:37,2019/5/28 18:41,Chrome 66.0.3359.126,Android Linux 8.1.0,正常完成,低得多
22,175.167.138.141,,,,,10,2019/5/28 18:37,2019/5/28 18:42,Safari 12.0,iPhone iOS 12.1.3,正常完成,差不多
23,175.167.154.209,,,,,5,2019/5/28 18:38,2019/5/28 18:42,Chrome 66.0.3359.126,Android Linux 8.1.0,正常完成,高得多
