答卷编号,IP地址,来源,昵称(微信),性别(微信),城市(微信),分值,开始时间,结束时间,浏览器,操作系统,状态,Q7_如果一个人的身体质量指数(BMI)是 23kg/m2，他的体重状况是什么？
1,175.167.130.151,,,,,6,2019/5/28 18:32,2019/5/28 18:34,Unknown Browser,iPhone iOS 12.2,正常完成,不确定
2,223.104.177.91,,,,,5,2019/5/28 18:32,2019/5/28 18:34,Chrome 66.0.3359.126,Android Linux 9,正常完成,不确定
3,223.104.176.245,,,,,4,2019/5/28 18:33,2019/5/28 18:34,Chrome 66.0.3359.126,Android Linux 8.1.0,正常完成,超重
4,223.104.177.89,,,,,5,2019/5/28 18:32,2019/5/28 18:35,Chrome 66.0.3359.126,Android Linux 8.1.0,正常完成,不确定
5,175.167.130.31,,,,,6,2019/5/28 18:32,2019/5/28 18:35,Chrome 66.0.3359.126,Android Linux 9,正常完成,体重不足
6,175.167.138.86,,,,,3,2019/5/28 18:33,2019/5/28 18:35,Chrome 57.0.2987.132,Android Linux 8.0,正常完成,不确定
7,223.104.237.89,,,,,6,2019/5/28 18:32,2019/5/28 18:35,Unknown Browser,iPhone iOS 12.2,正常完成,肥胖
8,42.248.32.126,,,,,5,2019/5/28 18:32,2019/5/28 18:35,Unknown Browser,iPhone iOS 12.1.4,正常完成,超重
9,175.167.138.10,,,,,7,2019/5/28 18:33,2019/5/28 18:35,Chrome 66.0.3359.126,Android Linux 9,正常完成,超重
10,223.104.176.149,,,,,5,2019/5/28 18:32,2019/5/28 18:35,Unknown Browser,iPhone iOS 12.2,正常完成,体重正常
11,175.167.138.143,,,,,4,2019/5/28 18:32,2019/5/28 18:36,Unknown Browser,iPhone iOS 12.2,正常完成,超重
12,175.167.146.171,,,,,3,2019/5/28 18:32,2019/5/28 18:36,Chrome 66.0.3359.126,Android Linux 8.1.0,正常完成,体重不足
13,175.167.130.82,,,,,2,2019/5/28 18:32,2019/5/28 18:36,Chrome 66.0.3359.126,Android Linux 9,正常完成,体重不足
14,221.178.127.27,,,,,5,2019/5/28 18:32,2019/5/28 18:36,Chrome 66.0.3359.126,Android Linux 9,正常完成,不确定
15,42.249.60.52,,,,,7,2019/5/28 18:33,2019/5/28 18:36,Unknown Browser,iPhone iOS 11.4,正常完成,体重不足
16,182.204.165.224,,,,,5,2019/5/28 18:32,2019/5/28 18:36,Unknown Browser,iPhone iOS 12.2,正常完成,体重正常
17,223.104.177.37,,,,,4,2019/5/28 18:33,2019/5/28 18:37,Unknown Browser,iPhone iOS 12.3,正常完成,超重
