答卷编号,IP地址,来源,昵称(微信),性别(微信),城市(微信),分值,开始时间,结束时间,浏览器,操作系统,状态,Q8_看看下面的体型: 以下体型中的哪一个增加了患心血管疾病的风险(心血管疾病是描述心脏血管疾病的一个通用术语，例如心绞痛、心脏病、心力衰竭、先天性心脏病和中风) ？
1,175.167.130.151,,,,,6,2019/5/28 18:32,2019/5/28 18:34,Unknown Browser,iPhone iOS 12.2,正常完成,苹果型
2,223.104.177.91,,,,,5,2019/5/28 18:32,2019/5/28 18:34,Chrome 66.0.3359.126,Android Linux 9,正常完成,苹果型
3,223.104.176.245,,,,,4,2019/5/28 18:33,2019/5/28 18:34,Chrome 66.0.3359.126,Android Linux 8.1.0,正常完成,梨型
4,223.104.177.89,,,,,5,2019/5/28 18:32,2019/5/28 18:35,Chrome 66.0.3359.126,Android Linux 8.1.0,正常完成,苹果型
5,175.167.130.31,,,,,6,2019/5/28 18:32,2019/5/28 18:35,Chrome 66.0.3359.126,Android Linux 9,正常完成,苹果型
6,175.167.138.86,,,,,3,2019/5/28 18:33,2019/5/28 18:35,Chrome 57.0.2987.132,Android Linux 8.0,正常完成,苹果型
7,223.104.237.89,,,,,6,2019/5/28 18:32,2019/5/28 18:35,Unknown Browser,iPhone iOS 12.2,正常完成,苹果型
8,42.248.32.126,,,,,5,2019/5/28 18:32,2019/5/28 18:35,Unknown Browser,iPhone iOS 12.1.4,正常完成,苹果型
9,175.167.138.10,,,,,7,2019/5/28 18:33,2019/5/28 18:35,Chrome 66.0.3359.126,Android Linux 9,正常完成,苹果型
10,223.104.176.149,,,,,5,2019/5/28 18:32,2019/5/28 18:35,Unknown Browser,iPhone iOS 12.2,正常完成,梨型
11,175.167.138.143,,,,,4,2019/5/28 18:32,2019/5/28 18:36,Unknown Browser,iPhone iOS 12.2,正常完成,苹果型
12,175.167.146.171,,,,,3,2019/5/28 18:32,2019/5/28 18:36,Chrome 66.0.3359.126,Android Linux 8.1.0,正常完成,苹果型
13,175.167.130.82,,,,,2,2019/5/28 18:32,2019/5/28 18:36,Chrome 66.0.3359.126,Android Linux 9,正常完成,不确定
14,221.178.127.27,,,,,5,2019/5/28 18:32,2019/5/28 18:36,Chrome 66.0.3359.126,Android Linux 9,正常完成,苹果型
15,42.249.60.52,,,,,7,2019/5/28 18:33,2019/5/28 18:36,Unknown Browser,iPhone iOS 11.4,正常完成,苹果型
16,182.204.165.224,,,,,5,2019/5/28 18:32,2019/5/28 18:36,Unknown Browser,iPhone iOS 12.2,正常完成,苹果型
17,223.104.177.37,,,,,4,2019/5/28 18:33,2019/5/28 18:37,Unknown Browser,iPhone iOS 12.3,正常完成,苹果型
18,175.167.130.2,,,,,6,2019/5/28 18:35,2019/5/28 18:37,Unknown Browser,iPhone iOS 12.2,正常完成,梨型
19,175.167.146.98,,,,,3,2019/5/28 18:35,2019/5/28 18:37,Chrome 66.0.3359.126,Android Linux 8.1.0,正常完成,苹果型
20,42.248.48.41,,,,,5,2019/5/28 18:36,2019/5/28 18:38,Unknown Browser,iPhone iOS 12.1.2,正常完成,苹果型
21,175.167.154.64,,,,,5,2019/5/28 18:36,2019/5/28 18:38,Chrome 66.0.3359.126,Android Linux 8.1.0,正常完成,苹果型
22,175.167.130.246,,,,,5,2019/5/28 18:38,2019/5/28 18:41,Chrome 66.0.3359.126,Android Linux 9,正常完成,苹果型
1,223.104.177.39,,,,,2,2019/5/28 18:36,2019/5/28 18:36,Unknown Browser,iPhone iOS 12.1.4,正常完成,苹果型
2,175.167.138.6,,,,,5,2019/5/28 18:36,2019/5/28 18:38,Unknown Browser,iPhone iOS 12.0,正常完成,苹果型
