答卷编号,IP地址,来源,昵称(微信),性别(微信),城市(微信),分值,Mean,SD,Median,Q1,Q3,InterQ,Marrgin Error,CI
1,223.104.177.39,,,,,2,4.916666667,2.019829237,5,3,6,3,0.808085147,(4.1086 5.7248)
2,175.167.138.6,,,,,5,,,,,,,,
3,36.23.111.143,,,,,3,,,,,,,,
4,59.46.193.39,,,,,7,,,,,,,,
5,175.167.146.98,,,,,2,,,,,,,,
6,221.192.180.175,,,,,5,,,,,,,,
7,42.248.48.43,,,,,7,,,,,,,,
8,175.167.138.123,,,,,4,,,,,,,,
9,220.195.66.92,,,,,5,,,,,,,,
10,112.64.119.243,,,,,5,,,,,,,,
11,223.104.176.205,,,,,6,,,,,,,,
12,175.167.138.159,,,,,2,,,,,,,,
13,59.46.193.39,,,,,3,,,,,,,,
14,223.104.177.112,,,,,6,,,,,,,,
15,59.46.193.39,,,,,3,,,,,,,,
16,223.104.176.218,,,,,5,,,,,,,,
17,113.127.67.179,,,,,8,,,,,,,,
18,223.104.237.97,,,,,7,,,,,,,,
19,223.104.176.166,,,,,3,,,,,,,,
20,59.46.193.39,,,,,6,,,,,,,,
21,220.195.65.109,,,,,4,,,,,,,,
22,175.167.138.141,,,,,10,,,,,,,,
23,175.167.154.209,,,,,5,,,,,,,,
24,112.42.25.208,,,,,5,,,,,,,,
