答卷编号,IP地址,来源,昵称(微信),性别(微信),城市(微信),分值,开始时间,结束时间,浏览器,操作系统,状态
1,175.167.130.151,,,,,6.0,2019-05-28 18:32:44,2019-05-28 18:34:28,Unknown Browser,iPhone iOS 12.2,正常完成
2,223.104.177.91,,,,,5.0,2019-05-28 18:32:49,2019-05-28 18:34:32,Chrome 66.0.3359.126,Android Linux 9,正常完成
3,223.104.176.245,,,,,4.0,2019-05-28 18:33:00,2019-05-28 18:34:45,Chrome 66.0.3359.126,Android Linux 8.1.0,正常完成
4,223.104.177.89,,,,,5.0,2019-05-28 18:32:47,2019-05-28 18:35:06,Chrome 66.0.3359.126,Android Linux 8.1.0,正常完成
5,175.167.130.31,,,,,6.0,2019-05-28 18:32:27,2019-05-28 18:35:09,Chrome 66.0.3359.126,Android Linux 9,正常完成
6,175.167.138.86,,,,,3.0,2019-05-28 18:33:04,2019-05-28 18:35:14,Chrome 57.0.2987.132,Android Linux 8.0,正常完成
7,223.104.237.89,,,,,6.0,2019-05-28 18:32:34,2019-05-28 18:35:22,Unknown Browser,iPhone iOS 12.2,正常完成
8,42.248.32.126,,,,,5.0,2019-05-28 18:32:58,2019-05-28 18:35:30,Unknown Browser,iPhone iOS 12.1.4,正常完成
9,175.167.138.10,,,,,7.0,2019-05-28 18:33:53,2019-05-28 18:35:32,Chrome 66.0.3359.126,Android Linux 9,正常完成
10,223.104.176.149,,,,,5.0,2019-05-28 18:32:51,2019-05-28 18:35:46,Unknown Browser,iPhone iOS 12.2,正常完成
11,175.167.138.143,,,,,4.0,2019-05-28 18:32:46,2019-05-28 18:36:05,Unknown Browser,iPhone iOS 12.2,正常完成
12,175.167.146.171,,,,,3.0,2019-05-28 18:32:51,2019-05-28 18:36:08,Chrome 66.0.3359.126,Android Linux 8.1.0,正常完成
13,175.167.130.82,,,,,2.0,2019-05-28 18:32:31,2019-05-28 18:36:12,Chrome 66.0.3359.126,Android Linux 9,正常完成
14,221.178.127.27,,,,,5.0,2019-05-28 18:32:55,2019-05-28 18:36:24,Chrome 66.0.3359.126,Android Linux 9,正常完成
15,42.249.60.52,,,,,7.0,2019-05-28 18:33:39,2019-05-28 18:36:44,Unknown Browser,iPhone iOS 11.4,正常完成
16,182.204.165.224,,,,,5.0,2019-05-28 18:32:50,2019-05-28 18:36:56,Unknown Browser,iPhone iOS 12.2,正常完成
17,223.104.177.37,,,,,4.0,2019-05-28 18:33:26,2019-05-28 18:37:02,Unknown Browser,iPhone iOS 12.3,正常完成
18,175.167.130.2,,,,,6.0,2019-05-28 18:35:39,2019-05-28 18:37:22,Unknown Browser,iPhone iOS 12.2,正常完成
19,175.167.146.98,,,,,3.0,2019-05-28 18:35:49,2019-05-28 18:37:35,Chrome 66.0.3359.126,Android Linux 8.1.0,正常完成
20,42.248.48.41,,,,,5.0,2019-05-28 18:36:03,2019-05-28 18:38:03,Unknown Browser,iPhone iOS 12.1.2,正常完成
21,175.167.154.64,,,,,5.0,2019-05-28 18:36:32,2019-05-28 18:38:04,Chrome 66.0.3359.126,Android Linux 8.1.0,正常完成
22,175.167.130.246,,,,,5.0,2019-05-28 18:38:11,2019-05-28 18:41:02,Chrome 66.0.3359.126,Android Linux 9,正常完成
